id,area,name,other_names,gender,group,term,start_date,end_date,source
,Blaenau Gwent,Peter Law,,male,Welsh Labour,2,,2005-05-05,"http://www.politicsresources.net/area/uk/wassmps03.htm, http://www.independent.co.uk/news/obituaries/peter-law-6102699.html"
,Blaenau Gwent,Peter Law,,male,Independent,2,2005-05-05,2006-04-25,http://www.politicsresources.net/area/uk/wassmps03.htm
,Blaenau Gwent,Peter Law,,male,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,North Wales,Peter Rogers,,male,Welsh Conservative Party,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,South Wales East,Phil Williams,,male,Plaid Cymru,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Carmarthen East and Dinefwr,Rhodri Glyn Thomas,,male,Plaid Cymru,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Carmarthen East and Dinefwr,Rhodri Glyn Thomas,,male,Plaid Cymru,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Cardiff West,Rhodri Morgan,,male,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Cardiff West,Rhodri Morgan,,male,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Cardiff West,Rhodri Morgan,,male,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Carmarthen East and Dinefwr,Rhodri Glyn Thomas,Rhodri Thomas,male,Plaid Cymru,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Preseli Pembrokeshire,Rhodri Glyn Thomas,,male,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,North Wales,Rod Richards,,male,Welsh Conservative Party,1,,2002-02-08,http://www.politicsresources.net/area/uk/wassmps.htm
,North Wales,Rod Richards,,male,Independent Conservative,1,2002-02-08,2002-09-10,http://www.politicsresources.net/area/uk/wassmps.htm
,Caerphilly,Ron Davies,,male,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Newport West,Rosemary Butler,,female,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Newport West,Rosemary Butler,,female,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Newport West,Rosemary Butler,,female,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Delyn,Sandy Mewies,Sandra Mewies,female,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Delyn,Sandy Mewies,Sandra Mewies,female,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Cardiff North,Sue Essex,,female,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Cardiff North,Sue Essex,,female,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Alyn and Deeside,Tom Middlehurst,,male,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Blaenau Gwent,Trish Law,,female,Independent,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Swansea East,Val Feld,Val Field,female,Welsh Labour,1,,2001-07-17,https://en.wikipedia.org/wiki/List_of_Welsh_Assembly_by-elections
,Swansea East,Val Lloyd,Valerie Lloyd,female,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Swansea East,Val Lloyd,Valerie Lloyd,female,Welsh Labour,1,2001-09-27,,http://www.politicsresources.net/area/uk/wassmps.htm
,Swansea East,Val Lloyd,Valerie Lloyd,female,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,South Wales East,William Graham,,male,Welsh Conservative Party,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,South Wales East,William Graham,,male,Welsh Conservative Party,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,South Wales East,William Graham,,male,Welsh Conservative Party,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,South Wales East,Veronica German,,female,Welsh Liberal Democrats,3,2010-07-01,,https://en.wikipedia.org/wiki/Veronica_German
